7.9494E+17,11/5/16 16:31,"RT @OFA: ""Thanks to the Affordable Care Act your coverage is better today than it was before.""
7.94927E+17,11/5/16 15:38,In the weekly address President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx
7.94665E+17,11/4/16 22:16,Let's keep working to keep our economy on a better stronger course. https://t.co/bV2BVjyj7a
7.94606E+17,11/4/16 18:25,The landmark #ParisAgreement enters into force today���we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro
7.94573E+17,11/4/16 16:12,The economy added 161000 jobs in October and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport
7.94284E+17,11/3/16 21:02,There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered
7.94255E+17,11/3/16 19:08,The positive impact of #Obamacare is undeniable but there's one big factor holding many states back: https://t.co/7XebIdRX34
7.94228E+17,11/3/16 17:22,RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before��_
7.93881E+17,11/2/16 18:22,Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU
7.93833E+17,11/2/16 15:13,Thanks to #Obamacare quality health care is available to everyone. The marketplace is now open���make sure you and y��_ https://t.co/89gl6pzMGD
7.93607E+17,11/2/16 0:15,RT @lacasablanca: La t�_pica Latina tarda 22 meses en ganar lo que un hombre blanco gana en 12 meses. Tenemos que cerrar la brecha salarial.��_
7.9358E+17,11/1/16 22:26,RT @WhiteHouse: On #LatinaEqualPay Day we mark the work that remains to ensure that all Americans receive equal pay for equal work. https:��_
7.93548E+17,11/1/16 20:17,Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i
7.93512E+17,11/1/16 17:55,With #Obamacare people can focus on treatment for pre-existing conditions without the fear of coverage being cappe��_ https://t.co/jvdFY87XBu
7.93481E+17,11/1/16 15:54,The Obamacare marketplace is now open. If you're uninsured now is the time to shop for a plan and #GetCovered.��_ https://t.co/Spjlga4eTT
7.93215E+17,10/31/16 22:17,RT @FLOTUS: Open enrollment starts tomorrow! Check out your options at https://t.co/dg57hwz5of and share your #GetCovered story. https://t.��_
7.93213E+17,10/31/16 22:09,Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y
7.93184E+17,10/31/16 20:12,Usted y su familia merecen la tranquilidad de saber que est��n cubiertos. El mercado de seguros abre ma̱ana. https://t.co/9iRCkLRGZD
7.93153E+17,10/31/16 18:08,Speak up in support of quality affordable health care for all. https://t.co/rGsSguMxvj
7.93136E+17,10/31/16 17:00,There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less��_ https://t.co/BUmnRO9B3E
7.93114E+17,10/31/16 15:33,Open enrollment begins tomorrow���make sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3
7.92854E+17,10/30/16 22:21,RT @OFA: Witch plan is best for you? Thanks to Obamacare even pre-existing conditions can't stop you from comparing your options. #GetCove��_
7.92046E+17,10/28/16 16:50,Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob
7.9202E+17,10/28/16 15:07,Senate leaders should put the common good above politics���the integrity of our nation's highest court depends on it.��_ https://t.co/iRVCEl1pzf
7.91766E+17,10/27/16 22:17,Don't ghost on your health and well-being���your chance to #GetCovered is coming up. Open enrollment starts November��_ https://t.co/qwNLazuPiz
7.91754E+17,10/27/16 21:31,Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u
7.91737E+17,10/27/16 20:24,If you're willing to work hard and play by the rules you should be able to get ahead. https://t.co/394hdJttgO
7.91715E+17,10/27/16 18:55,President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID
7.91687E+17,10/27/16 17:04,New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate
7.91663E+17,10/27/16 15:27,Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C
7.91362E+17,10/26/16 19:32,This is what happens when we focus on building an economy that works for everyone not just those at the top. https://t.co/op3Z74rPeI
7.91332E+17,10/26/16 17:33,"No one's too wrapped up in pre-existing conditions to #GetCovered. Thanks to Obamacare you can find a plan that m��_ https://t.co/C7H9TZdxeU"
7.91315E+17,10/26/16 16:26,Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH
7.91294E+17,10/26/16 15:01,DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb
7.91005E+17,10/25/16 19:55,Women the sick survivors���they all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV
7.90977E+17,10/25/16 18:01,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A
7.90952E+17,10/25/16 16:24,RT @SecBurwell: Most people shopping on @HealthCareGov will again find plans with premiums of less than $75/month thanks to financial assi��_
7.90937E+17,10/25/16 15:25,Be proud of the progress we've made together���wear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E
7.90667E+17,10/24/16 21:32,Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl
7.90647E+17,10/24/16 20:11,The four-week average of jobless claims fell to the lowest level since 1973���a sign of a healthy labor market. https://t.co/Lv7DnRM2DY
7.90627E+17,10/24/16 18:52,Since 2010 America's uninsured rate has been cut in half. Help build on that progress���join Team #Obamacare today: https://t.co/MhIICuE17A
