id,created_at,text
870784688939511808,2017-06-02 23:30:22,"RT @NAACP_LDF: Last week, @CoryBooker, @ChrisVanHollen &amp; @JoaquinCastrotx introduced a bill to improve policing data &amp; transparency https:/…"
870783978722258944,2017-06-02 23:27:33,"RT @MARCMORIAL: The people of New Jersey are ready to fight for clean air and water, good jobs, &amp; healthcare! #budget @CoryBooker @UrbanLea…"
870783816662736896,2017-06-02 23:26:54,"RT @Conduent: It's official! Florham Park, N.J. is our new home. Thanks for doing the ribbon-cutting honors, @CoryBooker! https://t.co/1O6C…"
870783704758706176,2017-06-02 23:26:28,RT @StarTalkRadio: First: The public understands climate change better than Congress. Why? #JohnHoldren @CoryBooker @neiltyson explain: htt…
870783612647600128,2017-06-02 23:26:06,RT @TonyCaputo: #njmorningshow @CoryBooker in #Newark addressing Pres. Trump decision to abandon Paris Accord on Climate Change.  See story…
870783487065935872,2017-06-02 23:25:36,RT @karen_yi: .@rasjbaraka @CoryBooker @IronboundCC speaking now against @realDonaldTrump's decision to withdraw from Paris climate agreeme…
870702222211858432,2017-06-02 18:02:41,"RT @SenGillibrand: Right. That's why @CoryBooker, @RandPaul and I wrote a bill to try to expand research opportunities for medical marijuan…"
870468077317754880,2017-06-02 02:32:16,SMH https://t.co/XfzOsahMde
870396592951615489,2017-06-01 21:48:13,Today isn't an end of US leadership on global climate issues; instead it is a rallying cry for us to double down in this urgent fight.
870395724659380224,2017-06-01 21:44:46,I reject President Trump's wanting climate leadership and will not yield in the fight against his dangerous environmental policy.
870394853925978112,2017-06-01 21:41:18,"In a few days, from his G7 meetings to his Rose Garden speech, Trump has moved us from a position of global leadership to reckless isolation"
870393889189965824,2017-06-01 21:37:28,Trump is wrong: It's not economy vs environment or America vs the world. It's future vs past; progress &amp; opportunity vs retreat &amp; surrender.
870392761643565056,2017-06-01 21:33:00,Pres Trump's Decision to withdraw from the Paris climate agreement is a vicious blow to American leadership in the world and to our future.
870390946059489285,2017-06-01 21:25:47,RT @CoryBooker: We must stand taller &amp; louder in the effort to make sure civil rights are enforced in every community across America https:…
870388982315704321,2017-06-01 21:17:59,RT @nytimes: Opinion: President Trump's decision to quit the Paris climate accord undercuts the planet’s best hope https://t.co/YiWzK6KJy4
870388109606871041,2017-06-01 21:14:31,RT @ddale8: The GOP is the world's only governing party that rejects the scientific fact of human-caused global warming: https://t.co/TNxxm…
870302698930941952,2017-06-01 15:35:07,"RT @RepAdamSchiff: Merkel: “The times in which we could rely fully on others, they are somewhat over."" If @potus calls that huge success, h…"
870302601644040193,2017-06-01 15:34:44,RT @brianschatz: The diplomatic arm of the United States is the State Department. And almost all key positions are empty. It's a scandal.
870302485860298752,2017-06-01 15:34:16,The best column I read this week. Please read: May determined hate always be overcome with courageous love.  https://t.co/7Ze8TMxgbV
870271282545295362,2017-06-01 13:30:17,We must stand taller &amp; louder in the effort to make sure civil rights are enforced in every community across America https://t.co/HNdrjmuuhe
869907435875651584,2017-05-31 13:24:29,"If @realdonaldtrump withdraws from #ParisAgreement, the US will be 1 of only 3 countries not participating: https://t.co/vGBGPgzh9E"
869565567291863040,2017-05-30 14:46:01,"Candidate @realDonaldTrump asked African-American communities: ""What do you have to lose?""

Well, now we know: Heal… https://t.co/ZQK3qVjw1E"
869259732430749696,2017-05-29 18:30:44,We drink deeply from wells of freedom we did not dig. We honor those who have given the greatest sacrifice for our nation #MemorialDay
868826215519596546,2017-05-28 13:48:06,"Park Elementary in North Newark, NJ needs microphones for its drama club—please consider supporting these kids: https://t.co/6HHROYkojR"
868613785090654212,2017-05-27 23:43:59,So wonderful to be at West Point today for a wonderful graduation. Congrats to the graduates including my cousin Na… https://t.co/Q2Yyy4WOgU
868613521109639171,2017-05-27 23:42:56,RT @brhodes: I used to know all the same things and I love getting out of the house. Scaring people is not a CT policy - it's doing what te…
868464134895087619,2017-05-27 13:49:19,Trump basically praised Duterte's government for murdering people in the streets over a War on Drugs. That disturbs… https://t.co/5zMAi1NI3A
868437016727433216,2017-05-27 12:01:34,RT @nowthisnews: .@ChrisMurphyCT explains how Obamacare isn't dying — Trump is purposefully killing it https://t.co/e6vh5fsf5a
868434659327258625,2017-05-27 11:52:12,"RT @paulkrugman: Rs want to slash Medicaid to cut taxes on rich, but also not cause mass loss of coverage. Somehow can't do it. Sad! https:…"
868427558920093700,2017-05-27 11:23:59,RT @MarkSZaidEsq: I said when filed this was frivolous lawsuit that would be dismissed. Grieving families were taken advantage of for ideal…
868427238781407232,2017-05-27 11:22:42,"""Nearly all men can stand adversity, but if you want to test a man's character, give him power.""
Abraham Lincoln"
868312838015782912,2017-05-27 03:48:07,RT @neeratanden: This. Is. Important. https://t.co/v04iAhvxxr
868309553275969538,2017-05-27 03:35:04,"RT @Mikel_Jollett: Breitbart praises Melania Trump for wearing a $51,000 dress.

 They criticized Michelle Obama for wearing a $3,200 dress…"
868307423458717696,2017-05-27 03:26:36,"RT @CNN: Obama: “In the eyes of God, a child on the other side of the border is no less worthy of love... than my own child."" https://t.co/…"
868227265326350336,2017-05-26 22:08:05,@JeremyDDickey Thanks for your indomitable spirit.
868225034229305345,2017-05-26 21:59:13,RT @northjersey: Senator @CoryBooker + @SenatorMenendez want answers from Argentina on Passaic River cleanup funding https://t.co/2wGLWQTHX…
868101430380548098,2017-05-26 13:48:04,"I hope you’ll join me on Friday, June 2 in Jersey City for an event in support of my campaign. Please RSVP here: https://t.co/POHGm3G2MI"
867877839441448960,2017-05-25 22:59:35,"RT @mattklapper: A fond farewell to Corey Cantor, who served on @CoryBooker 's econ policy team and is now off to grad school. Thanks for y…"
867874594916577281,2017-05-25 22:46:42,RT @chileychamoy: Senator @CoryBooker speaking with some of his youngest constituents today in the Senate Hart Building. https://t.co/oinHg…
867859812071223296,2017-05-25 21:47:57,I love my work in the United States Senate – but nothing lights up my day like having young students from NJ visit… https://t.co/sXedT7763F
867534813623930881,2017-05-25 00:16:32,"A ""healthcare"" bill that leaves 23 million more Americans without health insurance?

I will continue to fight this… https://t.co/8nQs5pQRxj"
867473351605972992,2017-05-24 20:12:18,@Spicolli55 https://t.co/j8ydDyiImv
867472866387865600,2017-05-24 20:10:22,@NCrude Thank you John for your gracious words.
867464739512889345,2017-05-24 19:38:05,At the Capitol between votes and I bumped into some amazing Newark kids. We had a good conversation. https://t.co/HRkdBErgQ8
